feature,type,count,unique_values,missing_values,mean,std,min,25%,50%,75%,max,skewness,kurtosis
loan_status_numeric,int64,167608,7,0,4.809,1.53,0.0,5.0,5.0,6.0,6.0,-2.418,4.95
loan_amnt,int64,167608,1519,0,15229.691,9678.219,1000.0,8000.0,12600.0,20000.0,40000.0,0.806,-0.153
term,category,"{' 36 months': 120813, ' 60 months': 46795}",2,0,,,,,,,,,
int_rate,float64,167608,217,0,13.034,5.129,5.31,9.44,11.99,15.99,30.99,0.928,0.837
emp_length,category,"{'10+ years': 55764, '2 years': 15298, '< 1 year': 14485, '3 years': 13351, '1 year': 11162, '4 years': 10506, '5 years': 10093, '6 years': 7417, '7 years': 5819, '8 years': 5745, '9 years': 5393}",11,12575,,,,,,,,,
home_ownership,category,"{'MORTGAGE': 81332, 'RENT': 65816, 'OWN': 20333, 'ANY': 127}",4,0,,,,,,,,,
annual_inc,float64,167608,13202,0,80289.607,280928.815,0.0,46992.0,66000.0,95000.0,110000000.0,358.567,139870.536
verification_status,category,"{'Source Verified': 66857, 'Not Verified': 59189, 'Verified': 41562}",3,0,,,,,,,,,
mths_since_last_delinq,float64,81601,133,86007,34.815,21.888,0.0,16.0,32.0,50.0,179.0,0.465,-0.649
open_acc,float64,167608,67,0,11.653,5.852,0.0,8.0,11.0,15.0,101.0,1.343,3.643
dti,float64,167402,6248,206,19.288,16.023,0.0,11.89,17.98,24.93,999.0,26.326,1369.408
